rnn_type,num_layers,hidden_size,dropout,bidirectional,loss,acc,f1,training_time
gru,8,200,0.5,True,2.51646965422583,0.7649082568807339,0.7503045066991474,1090.8960239887238
gru,8,200,0.8,False,3.0558240381734714,0.7614678899082569,0.7380352644836272,608.042489528656
gru,8,200,0.8,True,2.550139939678437,0.7614678899082569,0.7367088607594937,954.8757362365723
lstm,8,200,0.2,False,2.9555279192112414,0.75,0.7146596858638743,520.593941450119
lstm,8,200,0.2,True,2.9958008208445057,0.7740825688073395,0.7701283547257877,1078.1616098880768
lstm,8,200,0.5,False,2.942067021770007,0.7545871559633027,0.7263427109974424,1045.0692117214203
lstm,8,200,0.5,True,2.367752057628487,0.7637614678899083,0.7481662591687042,3604.5053493976593
lstm,8,200,0.8,False,3.3297288098505566,0.7603211009174312,0.7282184655396619,1617.5528616905212
lstm,8,200,0.8,True,2.953520897241885,0.7557339449541285,0.7208387942332897,2909.3256118297577
rnn,8,400,0.2,False,1.0063870559845651,0.7087155963302753,0.7370600414078675,381.2314567565918
rnn,8,400,0.2,True,0.6759054341486522,0.6662844036697247,0.7033639143730887,691.7357647418976
rnn,8,400,0.5,False,2.1659447827509473,0.7614678899082569,0.7333333333333333,336.11519718170166
rnn,8,400,0.5,True,0.796843018914972,0.6777522935779816,0.6915477497255763,656.8852593898773
rnn,8,400,0.8,False,0.7494215294718742,0.6341743119266054,0.7097361237488626,315.61624813079834
rnn,8,400,0.8,True,0.701209300330707,0.5091743119266054,0.0,635.7197875976562
gru,8,400,0.2,False,2.798620543307152,0.75,0.7146596858638743,862.0718533992767
gru,8,400,0.2,True,2.8834432618940093,0.7568807339449541,0.7369727047146402,1823.9102098941803
gru,8,400,0.5,False,3.219974241086407,0.7373853211009175,0.7097591888466414,915.047990322113
gru,8,400,0.5,True,3.2463385957692106,0.7603211009174312,0.7377666248431619,1897.2939095497131
gru,8,400,0.8,False,3.1945833595735644,0.7603211009174312,0.7429274292742928,957.2250473499298
gru,8,400,0.8,True,2.296502264312689,0.768348623853211,0.7745535714285714,1893.9445831775665
lstm,8,400,0.2,False,2.1178595487560545,0.7603211009174312,0.7148703956343793,1168.6557421684265
lstm,8,400,0.2,True,2.0853600990657077,0.7511467889908257,0.697350069735007,2672.9337673187256
lstm,8,400,0.5,False,2.6199585698978223,0.7545871559633027,0.7146666666666667,1164.366853237152
lstm,8,400,0.5,True,3.4211053337369646,0.7740825688073395,0.7496823379923762,2676.985964536667
lstm,8,400,0.8,False,2.785346966934802,0.7694954128440367,0.7413127413127413,1251.9020302295685
lstm,8,400,0.8,True,3.0191187070948735,0.7568807339449541,0.7217847769028871,2650.205504655838
